"","Player","Team","Pos","Game_Score","Two_Point_Field_Goal_Percentage","Field_Goals_Attempted","Technical_Fouls","Minutes_Played","Games_Played","Three_Point_Field_Goals_Attempted","Blocks","Free_Throw_Percentage","Field_Goals_Made","Total_Rebounds","Personal_Fouls","Steals","Turnovers","Free_Throws_Made","Three_Point_Field_Goals_Made","Field_Goal_Percentage","Defensive_Rebounds","Assists","Points","Offensive_Rebounds"
"1","Luka Doncic","Dallas Mavericks","SF",27.575,56.9,23.75,0.24,37.89,NA,10.67,0.54,"78.9%",11.39,9.21,2.22,1.38,4,6.8,3.95,48,8.33,9.78,33.54,NA
"2","Giannis Antetokounmpo","Milwaukee Bucks","SF",26.897,64.5,18.75,0.07,35.17,NA,NA,1.08,NA,11.47,11.52,2.88,1.19,3.42,7.04,NA,61.1,8.84,6.52,30.44,2.68
"3","Nikola Jokic","Denver Nuggets","C",26.757,62.5,17.93,0.09,35.09,86,NA,0.81,"82.9%",10.38,12.57,2.49,1.36,3.07,4.62,NA,57.9,9.67,9,26.44,2.9
"4","Shai Gilgeous-Alexander","Oklahoma City Thunder","PG",25.487,57.3,19.89,NA,34.23,79,NA,0.89,"86.7%",10.58,5.56,2.49,1.97,2.18,7.48,NA,53.2,4.71,6.14,29.91,NA
"5","Anthony Davis","Los Angeles Lakers","PF",23.653,58.7,17.06,NA,36.01,83,NA,2.33,"81.2%",9.57,12.94,2.43,1.13,2.13,5.53,NA,56.1,9.75,3.51,25.01,3.19
"6","LeBron James","Los Angeles Lakers","SF",22.556,58.9,18.06,0.08,35.68,78,5.06,0.58,"75.6%",9.71,7.33,NA,1.36,3.49,4.28,2.05,53.7,6.49,8.28,25.74,NA
"7","Jalen Brunson","New York Knicks","PG",21.679,51.3,22.01,NA,36.1,84,6.86,NA,"84.3%",10.46,NA,NA,0.88,2.46,5.76,2.69,47.5,NA,6.89,29.38,NA
"8","Devin Booker","Phoenix Suns","SG",21.056,55.3,19.03,0.15,36.29,NA,6.08,NA,"89.2%",9.36,NA,3.11,0.94,2.63,6.17,2.21,49.2,3.67,6.89,27.1,NA
"9","Kevin Durant","Phoenix Suns","SF",20.894,56.7,19.03,0.08,37.46,79,5.3,1.23,"85.3%",9.97,6.59,NA,0.9,3.22,4.94,2.19,52.4,6.06,4.95,27.08,NA
"10","Domantas Sabonis","Sacramento Kings","PF",20.868,61.3,13.05,NA,35.8,84,NA,0.6,NA,7.74,13.64,3.08,0.94,3.3,3.56,NA,59.3,10.1,8.18,19.43,3.55
"11","Jayson Tatum","Boston Celtics","SF",20.68,54,19.03,0.15,35.89,79,8.1,0.58,"83.0%",8.91,8.27,NA,0.97,2.49,5.7,3.01,46.8,7.41,4.95,26.53,NA
"12","Donovan Mitchell","Cleveland Cavaliers","SG",20.481,54.3,20.13,0.06,35.56,NA,8.81,NA,"85.9%",9.29,5.08,2.27,1.79,2.87,5.11,3.15,46.2,4.24,5.87,26.84,NA
"13","Kyrie Irving","Dallas Mavericks","PG",20.23,54.9,19.41,NA,35.46,NA,7.34,NA,"89.9%",9.67,5.06,NA,1.33,1.88,3.33,3.05,49.8,4.25,5.11,25.72,NA
"14","Tyrese Maxey","Philadelphia 76ers","PG",19.655,50.4,20.43,NA,38.14,77,8.18,NA,"87.1%",9.22,NA,2.18,0.96,1.71,4.66,3.05,45.1,NA,6.23,26.16,NA
"15","Tyrese Haliburton","Indiana Pacers","PG",19.625,60.3,14.97,NA,32.64,77,7.82,0.68,"85.2%",7.1,NA,NA,1.18,2.35,2.62,2.79,47.4,NA,10.74,19.62,NA
"16","Kawhi Leonard","Los Angeles Clippers","SF",19.623,56.9,16.94,NA,34.14,NA,4.87,0.86,"88.2%",8.87,6.17,NA,1.64,1.76,3.64,2,52.4,4.93,3.54,23.39,1.24
"17","De'Aaron Fox","Sacramento Kings","PG",19.532,52.4,21.09,0.13,36.05,NA,7.95,NA,NA,9.78,4.62,2.62,2.04,2.63,4.2,2.89,46.4,3.7,5.64,26.64,NA
"18","Anthony Edwards","Minnesota Timberwolves","SG",19.249,52.2,19.84,0.19,35.38,85,6.76,0.55,"83.5%",9.27,5.54,NA,1.32,3.08,5.4,2.45,46.7,4.82,5.18,26.39,NA
"19","Damian Lillard","Milwaukee Bucks","PG",19.183,48.7,17.64,0.05,35.52,NA,8.7,NA,"92.4%",7.47,NA,NA,0.99,2.62,6.62,3.12,NA,3.83,6.86,24.68,NA
